CTFP,CensusTract_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
39095010001,4127,35.0,32.0,60.0,31.0,74.0,45.0,28.0,6.0,-0.4610779,0.069157973,0.13932173,0.058782119,0.19736843,0.088133641,0.27246544,0.0074884794
39095010002,3500,67.0,63.0,88.0,45.0,89.0,65.0,37.0,40.0,0.47723624,0.13942857,0.24733728,0.08235804,0.32100052,0.1641791,0.40233615,0.011680727
39095010100,3852,60.0,51.0,73.0,68.0,55.0,69.0,21.0,27.0,0.25712177,0.10726164,0.17453799,0.13856894,0.28281328,0.052988295,0.43253234,0.0049291435
39095010200,2870,80.0,88.0,70.0,51.0,82.0,74.0,32.0,79.0,0.89268619,0.25832129,0.16582064,0.094392523,0.49011531,0.11838006,0.47663552,0.0093457941
39095010300,1728,96.0,98.0,94.0,95.0,96.0,71.0,46.0,97.0,1.5633805,0.42939815,0.30827066,0.32617342,0.81662267,0.31388888,0.44722223,0.016666668
39095010400,3471,79.0,100.0,1.0,20.0,69.0,95.0,89.0,96.0,0.86462164,0.60540539,0.0,0.04109589,0.77833462,0.075675674,0.79459459,0.086486489
39095990000,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39097040101,2293,31.0,34.0,2.0,76.0,7.0,15.0,83.0,48.0,-0.57187825,0.072169602,0.011049724,0.16569343,0.34562212,0.0060150377,0.1293233,0.063157894
39097040102,5218,33.0,37.0,44.0,37.0,24.0,34.0,74.0,22.0,-0.53100765,0.077707253,0.10391566,0.067667045,0.26744625,0.020368574,0.21920465,0.043161977
39097040201,2905,10.0,30.0,38.0,17.0,12.0,7.0,1.0,19.0,-1.2802743,0.065995134,0.093468465,0.036221918,0.25678357,0.010128913,0.086556166,0.0
39097040202,2654,64.0,77.0,66.0,73.0,19.0,29.0,62.0,71.0,0.36116749,0.19160998,0.15362319,0.15552996,0.43887946,0.016064256,0.19578314,0.029116467
39097040400,2653,32.0,12.0,58.0,63.0,70.0,24.0,57.0,23.0,-0.54636663,0.035630383,0.13324361,0.12202532,0.27074543,0.079844207,0.17137294,0.024342746
39097040500,4695,35.0,34.0,25.0,51.0,28.0,50.0,41.0,36.0,-0.4603177,0.073561229,0.070561454,0.09539184,0.31000412,0.023178808,0.30022076,0.01379691
39097040600,5668,43.0,37.0,44.0,55.0,17.0,59.0,31.0,69.0,-0.24733789,0.077322356,0.10470837,0.10442651,0.4302682,0.014369107,0.36102381,0.008531657
39097040700,2966,81.0,74.0,94.0,70.0,74.0,79.0,36.0,66.0,0.93831497,0.1761872,0.30704224,0.1443769,0.41399416,0.089638159,0.52549344,0.011513158
39097041000,5271,55.0,1.0,1.0,90.0,100.0,96.0,45.0,100.0,0.11994109,0.0,0.0,0.26231915,25.412371,0.87903225,0.82258064,0.016129032
39097041100,4343,38.0,19.0,65.0,62.0,59.0,53.0,1.0,45.0,-0.36613271,0.047202393,0.15114379,0.12117039,0.33610502,0.058754407,0.31962398,0.0
39097041200,3118,63.0,61.0,77.0,48.0,65.0,60.0,38.0,60.0,0.34184292,0.13320464,0.18859649,0.087727487,0.38990536,0.068126522,0.36253041,0.01216545
39097041300,2351,46.0,53.0,43.0,72.0,12.0,46.0,27.0,28.0,-0.13824096,0.11196253,0.10243902,0.15350318,0.28536782,0.010428737,0.28157589,0.0069524911
39099800300,1144,73.0,85.0,78.0,63.0,83.0,42.0,1.0,92.0,0.66383857,0.23251748,0.19434629,0.12356979,0.63953489,0.12307692,0.25576922,0.0
39099800400,883,80.0,81.0,84.0,81.0,88.0,41.0,44.0,94.0,0.9144153,0.20779221,0.22033899,0.19040698,0.68437499,0.1561086,0.25113124,0.015837105
