MSA,year,code,count,count_patient,prevalence
17140,2022,Q00-Q99,4231,142852,0.029618066250385013
17140,2022,R00-R99,77240,142852,0.5406994651807465
17140,2022,S00-T88,26124,142852,0.18287458348500546
17140,2022,U00-U85,14763,142852,0.10334472040993475
17140,2022,V00-Y99,4602,142852,0.03221515974575085
17140,2022,Z00-Z99,124829,142852,0.8738344580404894
17460,2016,A00-B99,20035,143620,0.13950006962818548
17460,2016,C00-D49,18497,143620,0.12879125469990252
17460,2016,D50-D89,9714,143620,0.06763681938448685
17460,2016,E00-E89,46169,143620,0.32146636958640856
17460,2016,F01-F99,33287,143620,0.23177134103885252
17460,2016,G00-G99,22863,143620,0.15919092048461217
17460,2016,H00-H59,23231,143620,0.16175323771062525
17460,2016,H60-H95,15684,143620,0.10920484612171007
17460,2016,I00-I99,33689,143620,0.23457039409552988
17460,2016,J00-J99,49812,143620,0.34683191756022835
17460,2016,K00-K95,26446,143620,0.18413869934549507
17460,2016,L00-L99,31421,143620,0.2187787216265144
17460,2016,M00-M99,48733,143620,0.3393190363459128
17460,2016,N00-N99,30032,143620,0.20910736666202479
17460,2016,O00-O9A,4294,143620,0.029898342849185352
17460,2016,P00-P96,1610,143620,0.011210137863807269
17460,2016,Q00-Q99,3604,143620,0.025093998050410807
17460,2016,R00-R99,73142,143620,0.5092744743071995
17460,2016,S00-T88,27440,143620,0.19105974098314998
17460,2016,V00-Y99,7108,143620,0.04949171424592675
17460,2016,Z00-Z99,106464,143620,0.7412895139952653
17460,2017,A00-B99,16478,111067,0.148360899277013
17460,2017,C00-D49,15477,111067,0.13934832128354957
17460,2017,D50-D89,7504,111067,0.06756282244050889
17460,2017,E00-E89,38337,111067,0.3451700325029037
17460,2017,F01-F99,27269,111067,0.24551847083292067
17460,2017,G00-G99,19387,111067,0.17455229726201302
17460,2017,H00-H59,16913,111067,0.15227745414929728
17460,2017,H60-H95,12568,111067,0.11315692329854952
17460,2017,I00-I99,27346,111067,0.24621174606318708
17460,2017,J00-J99,40974,111067,0.3689124582459236
17460,2017,K00-K95,21427,111067,0.19291958907686352
17460,2017,L00-L99,25699,111067,0.23138285899502103
17460,2017,M00-M99,39304,111067,0.35387648896611956
17460,2017,N00-N99,23577,111067,0.2122772740778089
17460,2017,O00-O9A,2928,111067,0.02636246589896189
